currency,asset,strategy,profit[%],profit-market,profit/day[%],market change[%],trades/day,wins[%],best win,median wins,worst loss,median losses,avg HODL[min],candleSize,historySize,days,cur CMC rank,cur marketcap,open price,close,low,high,avg price,volatility,volume/day,cur CMC volume,overall trades/day,dataset from,to,strategy settings,note
BTC,ETC,RSI,0.00,-0.57,0.00,0.57,1.04,63.83,3.92,1.17,-3.99,-1.18,1336,10,73,92,19,997211837,0.001184,0.00119079,0.00101967,0.00155799,0.00115855,5.3,14619,985975415,708,2019-01-15 02:32:00,2019-04-17 07:34:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
BTC,XMR,RSI,0.00,13.54,0.00,-13.54,1.04,67.95,3.52,1.09,-5.46,-1.51,1333,10,73,150,13,1946946237,0.012373,0.0106972,0.0101,0.01475999,0.01228631,7.7,8512,144417487,3813,2019-01-17 20:47:00,2019-06-17 06:56:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
BTC,LTC,RSI,0.00,-84.69,0.00,84.69,0.89,64.62,7.31,1.66,-6.13,-2.17,1533,10,73,147,4,8823884199,0.00856719,0.015823,0.00849061,0.01891141,0.01311515,17.0,20860,4915491469,5849,2019-01-17 20:50:00,2019-06-14 12:13:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
BTC,XRP,RSI,0.00,44.76,0.00,-44.76,0.82,48.33,18.41,1.07,-9.52,-1.16,1897,10,73,146,3,19487512400,0.000090,0.000050,0.000040,0.000096,0.000069,21.3,3871551,2061210500,9246,2019-01-17 20:47:00,2019-06-13 02:51:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
BTC,ETH,RSI,0.00,14.81,0.00,-14.81,0.91,58.57,5.86,0.77,-9.02,-1.21,1638,10,73,155,2,32967544902,0.03353995,0.02857337,0.02451137,0.039597,0.03232561,7.3,10186,10003762707,7145,2019-01-17 20:47:00,2019-06-22 08:54:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
BTC,ETC,RSI_BULL_BEAR,0.00,-0.57,0.00,0.57,1.28,38.98,10.68,1.16,-9.66,-0.86,1031,10,73,92,19,997211837,0.001184,0.00119079,0.00101967,0.00155799,0.00115855,5.3,14619,985975415,708,2019-01-15 02:32:00,2019-04-17 07:34:00,BEAR_RSI = 15 BEAR_RSI_high = 50 BEAR_RSI_low = 20 BULL_RSI = 10 BULL_RSI_high = 80 BULL_RSI_low = 60 SMA_long = 1000 SMA_short = 50,first run
BTC,XMR,RSI,0.00,13.54,0.00,-13.54,1.04,67.95,3.52,1.09,-5.46,-1.51,1333,10,73,150,13,1946946237,0.012373,0.0106972,0.0101,0.01475999,0.01228631,7.7,8512,144417487,3813,2019-01-17 20:47:00,2019-06-17 06:56:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
BTC,XRP,RSI_BULL_BEAR,0.00,44.76,0.00,-44.76,0.82,46.67,10.65,1.63,-8.25,-1.61,1057,10,73,146,3,19487512400,0.000090,0.000050,0.000040,0.000096,0.000069,21.3,3871551,2061210500,9246,2019-01-17 20:47:00,2019-06-13 02:51:00,BEAR_RSI = 15 BEAR_RSI_high = 50 BEAR_RSI_low = 20 BULL_RSI = 10 BULL_RSI_high = 80 BULL_RSI_low = 60 SMA_long = 1000 SMA_short = 50,first run
BTC,LTC,RSI_BULL_BEAR,0.00,-84.69,0.00,84.69,1.17,60.47,9.15,1.69,-9.36,-1.79,1448,10,73,147,4,8823884199,0.00856719,0.015823,0.00849061,0.01891141,0.01311515,17.0,20860,4915491469,5849,2019-01-17 20:50:00,2019-06-14 12:13:00,BEAR_RSI = 15 BEAR_RSI_high = 50 BEAR_RSI_low = 20 BULL_RSI = 10 BULL_RSI_high = 80 BULL_RSI_low = 60 SMA_long = 1000 SMA_short = 50,first run
BTC,XMR,RSI_BULL_BEAR,0.00,13.54,0.00,-13.54,1.15,44.19,3.07,1.25,-5.55,-1.24,1131,10,73,150,13,1946946237,0.012373,0.0106972,0.0101,0.01475999,0.01228631,7.7,8512,144417487,3813,2019-01-17 20:47:00,2019-06-17 06:56:00,BEAR_RSI = 15 BEAR_RSI_high = 50 BEAR_RSI_low = 20 BULL_RSI = 10 BULL_RSI_high = 80 BULL_RSI_low = 60 SMA_long = 1000 SMA_short = 50,first run
BTC,ETH,RSI_BULL_BEAR,0.00,14.81,0.00,-14.81,1.20,56.99,3.81,0.88,-6.52,-1.03,1014,10,73,155,2,32967544902,0.03353995,0.02857337,0.02451137,0.039597,0.03232561,7.3,10186,10003762707,7145,2019-01-17 20:47:00,2019-06-22 08:54:00,BEAR_RSI = 15 BEAR_RSI_high = 50 BEAR_RSI_low = 20 BULL_RSI = 10 BULL_RSI_high = 80 BULL_RSI_low = 60 SMA_long = 1000 SMA_short = 50,first run
